symbol,gene,p_value,log2FC,p_adj,significant
A1CF,220951_s_at,0.004991581844002329,-0.325507216204759,0.058091999270210054,False
A2M,217757_at,0.003592405857514422,-0.4530380289740652,0.04722689069203177,True
A4GALT,219488_at,0.7465583633473927,-0.039391898295328964,0.8858244373016219,False
A4GNT,221131_at,1.0874544642351514e-07,-0.9107222252041236,1.0915201723672017e-05,True
AAAS,218075_at,0.0016535687246029488,-0.4936516202984107,0.027319285348125152,True
AACS,218434_s_at,0.19349196686600148,-0.24515406360099234,0.4680396762565253,False
AADAC,205969_at,2.7612577969048187e-05,-1.062904741337407,0.0011289744493289922,True
AAGAB,202852_s_at,0.10026393545561416,0.29615659501859426,0.33506017902781193,False
AAK1,214956_at,0.20269729228977168,0.24596727368229487,0.47871794002045387,False
AAMDC,221599_at,0.0002064098006239249,-0.8369862964884422,0.005844256146509427,True
AAMP,201511_at,0.16266319863754528,-0.19151165994369457,0.43087912783537435,False
AANAT,207225_at,0.8451423774326681,-0.03246003523647456,0.9314910554259667,False
AAR2,218089_at,0.16566919604260727,-0.16129398186984645,0.434306670049108,False
AARS,201000_at,0.47200683485743367,-0.08702367805488898,0.7190375470255036,False
AARSD1 /// PTGES3L /// PTGES3L-AARSD1,222064_s_at,0.9320389582692821,-0.009857114940844625,0.9719191162959121,False
AASDHPPT,202169_s_at,0.25432968423292585,0.16704709275271057,0.5377897469882602,False
AASS,214829_at,0.01903239001177313,-0.5735315554631715,0.13407997014353473,False
AATF,209165_at,0.28580347860289185,-0.16054627980863856,0.5677595536871034,False
AATK,205986_at,0.2351778744890997,-0.208559892707596,0.5168114967692907,False
ABAT,209459_s_at,0.0006537955946890916,1.3779887199872318,0.01390126644700098,True
ABCA1,203505_at,0.0005433414991390719,-0.8631195677293082,0.012119398023339278,True
ABCA11P,220159_at,0.8044155578571094,0.04477146263689491,0.9134117343930884,False
ABCA12,215465_at,0.18094079725029028,-0.2173147612214752,0.45312472298586404,False
ABCA2,210100_s_at,0.5124044858528609,-0.14080317525580277,0.7468054914160049,False
ABCA3,204343_at,0.08262248621660155,0.4429378434195197,0.30275889826747776,False
ABCA4,210082_at,0.9503005534232152,0.009286320488120836,0.9787044842197551,False
ABCA5,213353_at,0.0006977118315109102,-0.41790012604275795,0.014659347317883762,True
ABCA6,217504_at,0.0037582484881131533,-0.537195055105264,0.048697236127536625,True
ABCA7,219577_s_at,0.5290919001687981,-0.07621185689234444,0.7591254276557815,False
ABCA8,204719_at,2.2197216598241973e-10,-2.6991882173839397,5.5480742103026804e-08,True
ABCB1,209993_at,0.8529190917192246,0.023427035997567458,0.9355910269163868,False
ABCB1 /// ABCB4,209994_s_at,0.48554431020761424,0.1357965877190237,0.728234762358233,False
ABCB11,211224_s_at,0.2416773461872348,-0.13492293247359655,0.5238105539432111,False
ABCB4,207819_s_at,0.5671691972505382,-0.08507444097423189,0.7834747518649645,False
ABCB6,203192_at,0.0010747344903161119,-0.47168820170604064,0.019907155983137092,True
ABCB7,209620_s_at,0.2961240742616076,-0.18531354317991422,0.5772889016438528,False
ABCB8,206317_s_at,0.9824344865652155,-0.002841561910145174,0.9932662279552039,False
ABCB8 /// ASIC3,207561_s_at,0.8774079470614304,0.022802579103082365,0.9479463464786402,False
ABCB9,214209_s_at,0.00464577631472632,0.533913014234531,0.0557205200743085,False
ABCC1,202804_at,0.6100334970178936,0.06792296742400872,0.8096114600386969,False
ABCC10,213485_s_at,0.08729232000881719,-0.23482977603428878,0.31082950569877593,False
ABCC2,206155_at,0.004497316110073025,-0.33273282974373775,0.05476953206407543,False
ABCC3,209641_s_at,0.4636806597621934,-0.08004630605426843,0.7133649546241608,False
ABCC4,203196_at,0.6636413752951242,-0.05873737021100389,0.8385432829627034,False
ABCC5,209380_s_at,0.5106674045878801,0.08093588081481151,0.7460304055878667,False
ABCC6 /// ABCC6P1 /// ABCC6P2 /// LOC101930322,214033_at,0.005967647893308566,-0.5108962584338599,0.06493022363603261,False
ABCC6 /// LOC101930322,215559_at,0.004736722659169619,-0.48997775710034386,0.05632538706203487,False
ABCC8,210246_s_at,0.09242378137802851,-0.23950575903193627,0.32139187272887165,False
ABCC9,208462_s_at,0.28262611102121915,-0.15839949145973442,0.5655130627342803,False
