gene,p_value,fold_change
205478_at,1.2220922601190193e-17,-1.5274076311308935
219140_s_at,5.987369566427464e-17,-1.5064002389346278
266_s_at,1.060824311962386e-16,1.4985723394680188
222317_at,2.725454831115604e-16,-1.485336451661222
201839_s_at,5.462557643380456e-16,1.4753183996099946
201650_at,6.454732368725082e-16,1.4728792568505484
210964_s_at,1.308285833585881e-15,-1.462403124988473
221009_s_at,1.6807504638895618e-15,-1.4586285882324699
219295_s_at,3.965807479216244e-15,-1.4454506837130356
205220_at,5.8604204622248384e-15,-1.439328380761952
43427_at,1.2237333845880884e-14,-1.4275612164564637
202286_s_at,1.6060440326377855e-14,1.4231404601690512
205610_at,2.422609089735903e-14,-1.416376801567358
212741_at,2.859694629546818e-14,-1.4136201955048935
219398_at,3.264837275671438e-14,-1.411406784398583
204388_s_at,5.46297937617325e-14,-1.4027090792599448
202988_s_at,6.202234208731811e-14,1.4005404998295308
210298_x_at,6.641401989605476e-14,-1.399367505163347
209771_x_at,6.925304225648583e-14,1.3986484108818655
214456_x_at,9.560777776939255e-14,-1.3930726128155442
218087_s_at,1.0945902611080947e-13,-1.3907143186694526
218168_s_at,1.268936282191744e-13,-1.38812510822609
208510_s_at,1.3017656796086537e-13,-1.3876762598705112
49452_at,1.6899134574891316e-13,-1.3830671019050071
218237_s_at,1.8830355674381695e-13,1.381143229128352
219737_s_at,1.8836977527292134e-13,-1.3811369657876469
201286_at,2.0982193929023134e-13,1.3792119540386638
219738_s_at,2.2501707545814061e-13,-1.3779600486714032
207092_at,2.558738816079151e-13,-1.3756508109788181
215695_s_at,2.7219305109802735e-13,-1.3745359991001185
214414_x_at,2.8300677586133723e-13,-1.3738322406881052
205382_s_at,3.0315827969541215e-13,-1.3725873098329693
201131_s_at,3.07240443037727e-13,1.3723448647007603
205913_at,4.941538041705091e-13,-1.3636545137289375
221928_at,5.10256824713461e-13,-1.3630626755576867
203548_s_at,5.303156923962357e-13,-1.3623501244272413
204997_at,6.978781744199223e-13,-1.3572469886003273
219064_at,1.2583731733178556e-12,-1.3461149383180944
206243_at,1.4561571218993752e-12,-1.3433207901691029
210201_x_at,1.5977068867683671e-12,-1.3415372818749496
209699_x_at,1.600330660563412e-12,-1.3415056803413759
203571_s_at,1.8140750789318886e-12,-1.3390855499719612
201596_x_at,1.867062897683883e-12,1.3385281589970237
216331_at,2.081802116295303e-12,-1.3364150689812666
207175_at,2.3674504748997704e-12,-1.3339082816091214
209602_s_at,2.792927550674511e-12,1.330668282981688
213071_at,3.3362634291917056e-12,-1.3271610424255076
216379_x_at,3.614549210478845e-12,1.3255726678583701
214063_s_at,4.044756617791451e-12,-1.3233350372193529
213068_at,4.1632601146224795e-12,-1.3227589018696846
209686_at,5.010057832415466e-12,-1.319049937547846
209614_at,6.21913794249889e-12,-1.3146861630138664
213693_s_at,7.160992645896405e-12,1.311820237501236
204570_at,7.847385225014068e-12,-1.309951738254862
203549_s_at,1.0303087152760844e-11,-1.3043549449346683
209581_at,1.0554496261363315e-11,-1.3038565320736426
209493_at,1.53775576293711e-11,-1.2960153465640234
204151_x_at,1.6842935993536064e-11,-1.2941017267451214
213524_s_at,1.696917672508031e-11,-1.2939444377560276
204894_s_at,1.7216158680666407e-11,-1.2936399378878933
203980_at,1.7586027000191578e-11,-1.2931916957045162
205824_at,1.761661607295089e-11,-1.2931550315935387
202931_x_at,1.8505073729703457e-11,-1.2921159804353772
204223_at,2.6975980051033373e-11,-1.284090051191034
209183_s_at,2.917417130987331e-11,-1.2824069778473413
211653_x_at,3.601432998920639e-11,-1.2778556872924292
212112_s_at,3.774797922028013e-11,-1.2768346272972475
218723_s_at,3.903416384367079e-11,-1.2761058082888692
214505_s_at,4.29805651498803e-11,-1.2740054307986064
204134_at,4.653658297322062e-11,-1.2722658179379922
213706_at,4.813166665857776e-11,-1.2715266166980883
220061_at,4.9933956234417943e-11,-1.270719181714369
209116_x_at,5.1989137390465315e-11,-1.2698319164194007
204719_at,5.905951182777332e-11,-1.2670175074329098
208383_s_at,6.103784407927311e-11,-1.266287939618679
203853_s_at,6.207905383820455e-11,-1.2659130319970728
221748_s_at,6.367582562909165e-11,-1.2653496510616775
204159_at,6.644254422287443e-11,-1.2644048443704952
216594_x_at,6.972546290851643e-11,-1.2633315725388616
58780_s_at,7.234485646927917e-11,-1.2625094661315663
209016_s_at,7.494115394577307e-11,1.2617223334473409
218736_s_at,7.931515418958967e-11,-1.2604536166523377
211745_x_at,8.632515655813535e-11,-1.2585540293179895
203323_at,9.593223216202499e-11,-1.2561781682510202
201348_at,1.0832888375317594e-10,-1.2534292820752584
203065_s_at,1.0987333690830754e-10,-1.2531081979588419
211696_x_at,1.3091383810747237e-10,-1.2491188959350206
205498_at,1.3292413058082835e-10,-1.2487705786222976
221747_at,1.5418318384791497e-10,-1.245368157503312
200606_at,2.0125117971745373e-10,1.2392064516552614
204042_at,2.0898752166259158e-10,-1.2383285723334068
201690_s_at,2.1946192676449743e-10,1.237188388969455
213005_s_at,2.2865017814355905e-10,-1.2362303796360676
202768_at,2.3044844315916803e-10,-1.2360472115335923
209555_s_at,2.342901915462667e-10,-1.2356604456018305
209160_at,2.3671051902648027e-10,-1.2354198903868892
33322_i_at,2.5063055513666206e-10,1.2340805578047604
222351_at,2.571724789375458e-10,-1.2334755778599944
217414_x_at,2.919841430817221e-10,-1.230485440085011
206488_s_at,2.927129790501273e-10,-1.2304265633894207
209612_s_at,3.104310642926122e-10,-1.2290368751209857
209298_s_at,3.4400556432096064e-10,-1.2266003117176223
218186_at,3.942057067211735e-10,1.2233523457004258
203917_at,4.2051207266763224e-10,1.2218055162652361
209496_at,4.245365182540585e-10,-1.221577093717556
203812_at,4.511610639911443e-10,-1.2201162173484112
209458_x_at,4.5854314727692176e-10,-1.2197257890087945
212886_at,4.766817764755589e-10,-1.218791465044851
209512_at,4.910819383112658e-10,-1.2180736541766781
203414_at,5.257394384086455e-10,-1.216425509139607
213348_at,5.666768468028962e-10,-1.2146078196369938
210078_s_at,5.832432197828883e-10,-1.2139077769695885
210715_s_at,6.121922089431143e-10,1.2127289895383773
212281_s_at,6.460594138929175e-10,1.211415885004561
203435_s_at,8.108101592259327e-10,-1.2058435136778825
216894_x_at,8.15829749544093e-10,-1.2056913530567224
209763_at,8.252723027663892e-10,-1.2054075309158248
209616_s_at,8.517618458842715e-10,-1.2046276014855493
201243_s_at,9.801383093842902e-10,1.2011492146433742
200944_s_at,1.039048353557042e-09,1.1996968887660877
218124_at,1.0588288608929667e-09,-1.1992268680675506
214439_x_at,1.0981546370990008e-09,-1.198316868926233
217028_at,1.1016633700143382e-09,1.1982371987036395
32837_at,1.2215985931174615e-09,-1.1956504046053928
37117_at,1.3027870218725582e-09,1.1940338770997254
212636_at,1.3076728798540888e-09,-1.193939697522655
206030_at,1.3527692695459998e-09,-1.193085978527741
217232_x_at,1.3567134945376072e-09,-1.1930126106068983
201540_at,2.26669215595415e-09,-1.1799325524231956
209613_s_at,2.5123083557606246e-09,-1.1772752457716615
201450_s_at,2.717217371898329e-09,1.1752419976404354
213247_at,2.9413857790606088e-09,-1.1731791333874897
218677_at,3.168692536504587e-09,1.1712354816863937
213486_at,3.1927296574957323e-09,-1.1710377982889812
206068_s_at,3.477051827235466e-09,-1.1688016729582604
35776_at,3.4950525946186535e-09,-1.1686660500652948
201417_at,3.583199158900657e-09,1.168011418817969
203215_s_at,4.630559281433433e-09,1.1612296573923246
209603_at,4.7211707581539564e-09,1.1607139592851436
202890_at,5.156003710740146e-09,1.158363742506346
210517_s_at,5.475628822867761e-09,-1.156754005784054
213764_s_at,5.4815829887324056e-09,-1.1567248783737942
209210_s_at,5.709187859413519e-09,-1.1556335112590563
206100_at,5.850153102207121e-09,-1.1549782317716866
200844_s_at,5.978509669626305e-09,-1.1543945488864964
204848_x_at,6.0343338214913e-09,-1.1541444218570565
209550_at,6.041522062007278e-09,-1.154112374761186
213933_at,6.104235533477337e-09,-1.153834315758366
208650_s_at,6.405536427313328e-09,1.152535325405701
208651_x_at,7.473795375688089e-09,1.1483576988104491
210375_at,7.621271170932274e-09,-1.1478263581647332
204731_at,7.741532680414701e-09,-1.1474002831397043
207275_s_at,7.78906610841771e-09,-1.1472336165848733
214093_s_at,8.217956346108909e-09,1.145772226098132
219689_at,8.441255497299369e-09,-1.1450399397188002
213451_x_at,8.684070623366945e-09,-1.1442643449493746
202464_s_at,9.237505578779438e-09,-1.1425712098406056
205968_at,9.361206354407348e-09,1.1422060318940748
212071_s_at,9.41081022847276e-09,-1.1420608879270944
203324_s_at,9.833425021691259e-09,-1.1408530832804846
204653_at,9.965913462827493e-09,1.1404846261845343
216834_at,1.0246990921531516e-08,1.1397181673782493
205022_s_at,1.0253455184879233e-08,-1.1397007772531604
65718_at,1.0380858781123007e-08,-1.1393601545846619
201432_at,1.0483723106375342e-08,-1.139088037086565
206093_x_at,1.116710340272604e-08,-1.1373423796634623
217047_s_at,1.141927866718118e-08,-1.1367238584438049
205303_at,1.1611685762795797e-08,-1.1362606352260005
215379_x_at,1.2032335335881668e-08,1.1352729017497367
201539_s_at,1.2691140892825498e-08,-1.1337902594337783
204326_x_at,1.4015152156681665e-08,-1.131020433729126
219298_at,1.471307075669871e-08,-1.1296593419287517
204419_x_at,1.5529457338677028e-08,-1.128143254241861
204825_at,1.5628208244784726e-08,1.127965045899432
1007_s_at,1.564066528938322e-08,1.1279426419116971
212845_at,1.5691562992865725e-08,-1.1278512788376114
206201_s_at,1.9674156773123305e-08,-1.1214565789238904
203986_at,2.1137078100235e-08,-1.1194146262267353
208789_at,2.1178340155626967e-08,-1.119359007348609
221246_x_at,2.2835412024011976e-08,-1.1172066305480455
202912_at,2.5146015372240974e-08,-1.1144415539872037
205609_at,2.5304154217120537e-08,-1.1142612732268762
218625_at,2.7318485684881227e-08,-1.1120543105048637
203400_s_at,2.8806231664313658e-08,-1.1105216857424487
218031_s_at,2.927443230290399e-08,-1.110054937506341
221295_at,2.9749669494723273e-08,-1.1095883897510466
213364_s_at,3.021815119625407e-08,-1.1091353703903175
201719_s_at,3.177407245095912e-08,-1.1076773747135746
219935_at,3.227499507498449e-08,-1.1072224253999638
212097_at,3.26264448258758e-08,-1.1069072271405491
212419_at,3.465578101760502e-08,-1.1051481109520958
219563_at,3.4914191855235636e-08,-1.1049311889723046
209087_x_at,4.338533075510741e-08,-1.0985538263602987
200671_s_at,4.6524826364566136e-08,-1.0964885266944915
202489_s_at,4.7775629287019915e-08,1.0957024454148716
212653_s_at,4.7928393874843236e-08,-1.0956077842047276
218499_at,5.2565228286571854e-08,1.0928631999226417
201890_at,5.408527927491017e-08,1.0920134656837583
218175_at,5.414559292921417e-08,-1.0919802199704418
201242_s_at,5.431909144124706e-08,1.091884781285115
